类别	编号	名字	页	链	分组	读页面控件	耗时	说明
命令	core.runLine	核算整线	② 法兰优化	C整线耦合	页面参数	读	十几分钟～两小时，全程有进度，随时可取消	一路算到能出图为止：解一次 → 判据没过就自己调厚度（必要时连形状一起搜） → 加密复算到数不再变。几何用的是和设计记录完全同一套构造器
命令	geom.analyze	分析几何变数	① 输入	C整线耦合	工具	读	分钟级	报各几何量对判据的斜率（只测不调）
命令	geom.toanalytic	◈ 图纸几何 → 参数	① 输入	无	工具	读	瞬时	把 .3dm 反推出来的几何（盘径／舌长／舌半宽／管壁／板厚）交给解析路，并切到解析模式。⇒ 「◇ 搜形状」随之可用 —— 那是全程唯一能改形状的东西，而 .3dm 路改不了形状（它的旋钮只有各级厚度）。⚠ 交接之后几何不再跟图纸绑定；图纸本身没被改动，切回去即可
命令	geom.export3dm	导出可回读 3DM	② 法兰优化	无	工具	读	十几秒	把本页解析几何写成单图层多级台阶的 .3dm —— 一张 APP 自己读得回来的图。现有的出图是多图层，读取端要单图层，于是「出图 → 去 Rhino 改 → 读回来核算」这条路是断的。写完立刻回读校验
命令	final.load	载入设计记录	参考工具	无	设计记录不读页面	不读	即时	把 DesignSpec 的某一档灌进各控件。已作废的档会在最前面自报失效
命令	core.verifyMesh	◆ 加密复算（算到数不再变）	② 法兰优化	C整线耦合	页面参数	读	10～40 分钟，可取消	把网格一档档加密，直到判据不再变。判据可不可信由它说了算 —— 出图前必须过这一关
命令	core.fineResolve	◆ 细网格重解（加密不过后）	② 法兰优化	C整线耦合	页面参数	读	十几分钟到数小时，可取消	加密复算发现判据在细网格上不过（导航网格上是过的）—— 不必回导航网格重来一遍：直接在这张细网格上重新求根，旋钮只增不减。解完仍要回「◆ 加密复算」再验一次才可出图。
命令	core.autoThick	自动定厚（手动分步）	② 法兰优化	C定尺寸	页面参数	读	数分钟～半小时，可取消	★ 「核算整线」已经包含这一步 —— 这里单独点，是想只调厚度、先看一眼结果。解析几何走 D8 定尺寸；.3dm 几何走逐级定厚。结束后附一份「形状体检」
命令	shape.search	◇ 搜形状（手动分步）	② 法兰优化	C形状搜索	页面参数	读	几十分钟	★ 「核算整线」已经包含这一步，而且它每试一个形状都会在里面重跑一遍定厚。这里单独点，是想只在形状这一维上看结果。自动改盘径与舌宽（舌长按装配算出来），逐个定尺寸并挑最轻的全过解。⚠ 只在解析几何模式可用
命令	scan.thickness	厚度灵敏度扫描	② 法兰优化	C整线耦合	页面参数	读	很久	10 个壁厚点各跑一次整线耦合解。这是 C 链的工具，不是「分析」 —— 它的每一点都是权威解
命令	export.page3dm	导出本页 3DM	③ 结果与出图	无	导出	读	十几秒	整机（三段管 + 四片法兰），几何与刚才求解的完全一致
命令	final.export3dm	导出设计记录 3DM	参考工具	无	设计记录不读页面	不读	十几秒	整机几何 + 自校。已声明失效的档一律拒绝出图
命令	final.save	另存为设计记录	③ 结果与出图	无	导出	读	即时	把当前这个解连同判据值一起存成档案。超标也存得下 —— 存之前会把超标的项列给你看，由你决定存不存；存下来的档会记着你担了这个风险。
命令	case.save	保存	③ 结果与出图	无	工具	不读	即时	把参数表存成 .json
命令	case.load	读取	③ 结果与出图	无	工具	不读	即时	从 .json 载入参数表。载入后上一次的解即作废
命令	manual.openMd	打开 Markdown 版	使用说明	无	工具	不读	即时	在外部编辑器打开 docs\APP使用说明书.md。⚠ 那份只留程序里讲不了的事，操作说明以本页为准
