F3 归因（只印不判）　W08 片0　等温电流 1214 A／1150 °C　单片冻结热解：管根 1150 °C，保温／铜排／分区按 LineRunner.PlateThermalInputs（本几何的整线算例）
开跑 2026-09-23 16:35:01　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC2　写码 2026-09-23，F3（C2）
Core 源码指纹（DesignScreen／InsulationSearch／LineRunner／ShellCurrent／ShellThermal）b2455e588b95f599　局部热稳定口径：终版（jLocalAPerMm2 = 重构 J）
开 = 生产（热场发热吃发热等效 J；盘／舌峰处报出的 J 与局部热稳定用重构 J）；关 = 改回（热场全吃重构 J）。不是三条硬判据（那要整线，见整线归因档），是同一片板在同一边界下对发热口径的响应。
R	w	档	单元	发热 开	发热 关	Δ发热W	抽热 开	抽热 关	Δ抽热W	最高温 开	Δ最高温K	盘区峰 开	Δ盘区峰K	舌区峰 开	Δ舌区峰K	热稳定裕度 开	关	热稳定报出J 开	关	耗时s
30.50	30.00	导航	1162	422.770	421.720	+1.050	-11.7048	-10.9291	-0.7757	1164.783	+0.538	1160.979	+0.079	1164.783	+0.538	7.134	7.133	11.901	11.901	2.6
30.50	30.00	判决	4334	421.402	421.329	+0.073	-11.0821	-10.9456	-0.1365	1164.160	+0.138	1162.998	+0.077	1164.160	+0.138	7.697	7.697	12.127	12.127	3.1
30.75	30.00	导航	1196	430.207	429.214	+0.993	-14.2111	-13.5167	-0.6944	1166.971	+0.610	1164.527	+0.160	1166.971	+0.610	6.197	6.195	11.663	11.663	1.6
30.75	30.00	判决	4366	428.964	428.669	+0.295	-13.5994	-13.3611	-0.2383	1166.497	+0.230	1164.906	+0.120	1166.497	+0.230	7.454	7.453	12.058	12.058	1.8
31.00	30.00	导航	1184	437.686	436.217	+1.469	-16.9258	-16.0299	-0.8959	1169.418	+0.591	1167.811	+0.279	1169.418	+0.591	5.640	5.638	11.542	11.542	1.2
31.00	30.00	判决	4450	434.764	435.083	-0.319	-15.5922	-15.5316	-0.0606	1168.481	+0.042	1166.294	-0.020	1168.481	+0.042	7.400	7.400	12.043	12.043	1.4
31.01	30.00	导航	1184	437.844	436.325	+1.518	-16.9367	-15.9981	-0.9386	1169.471	+0.617	1167.869	+0.313	1169.471	+0.617	5.614	5.613	11.546	11.546	1.0
31.01	30.00	判决	4454	435.077	435.453	-0.376	-15.7345	-15.7271	-0.0074	1168.601	+0.033	1166.444	-0.026	1168.601	+0.033	7.356	7.355	12.045	12.045	1.4
31.25	30.00	导航	1204	442.956	441.368	+1.588	-18.3833	-17.4365	-0.9468	1171.453	+0.865	1167.081	+0.345	1171.453	+0.865	6.204	6.203	11.665	11.665	0.9
31.25	30.00	判决	4548	440.412	440.715	-0.304	-17.4075	-17.3393	-0.0682	1170.506	+0.081	1167.473	+0.019	1170.506	+0.081	7.461	7.460	12.060	12.060	1.5
30.00	29.50	导航	1146	423.414	422.261	+1.153	-13.7951	-12.9354	-0.8597	1165.689	+0.627	1161.231	+0.247	1165.689	+0.627	7.181	7.180	11.902	11.902	1.1
30.00	29.50	判决	4280	422.191	422.109	+0.082	-13.3155	-13.1690	-0.1465	1165.134	+0.174	1163.367	+0.083	1165.134	+0.174	8.935	8.934	12.293	12.293	1.4
30.00	29.55	导航	1132	421.071	420.130	+0.940	-12.7843	-12.1003	-0.6841	1164.756	+0.498	1160.336	+0.105	1164.756	+0.498	7.440	7.439	11.959	11.959	1.2
30.00	29.55	判决	4250	419.553	419.367	+0.186	-12.0242	-11.7746	-0.2496	1164.104	+0.155	1162.334	+0.052	1164.104	+0.155	9.274	9.274	12.251	12.251	2.3
30.00	29.70	导航	1146	414.850	414.162	+0.688	-10.1078	-9.4047	-0.7031	1162.538	+0.128	1160.887	-0.081	1162.538	+0.128	6.546	6.546	11.746	11.746	1.0
30.00	29.70	判决	4248	413.743	413.705	+0.038	-9.4595	-9.2594	-0.2001	1162.257	+0.090	1161.234	+0.033	1162.257	+0.090	9.170	9.170	12.255	12.255	2.0
30.00	29.80	导航	1132	410.825	410.192	+0.633	-8.3010	-7.6659	-0.6351	1161.509	+0.357	1159.246	+0.179	1161.509	+0.357	7.154	7.153	11.926	11.926	1.4
30.00	29.80	判决	4194	410.042	410.107	-0.065	-7.9741	-7.8714	-0.1027	1161.234	+0.086	1160.767	+0.059	1161.234	+0.086	8.901	8.901	12.320	12.320	1.9

── 分区拆账（2026-09-23 审查后加，P3）：等温 = 电流解温度下（开 = 面发热 FaceGenW，关 = ρJ重构²tA）；热场 = 热解后 CellGenW（ρ(T_解)），只计入账格；
   「关温度场下开口径 − 关」= 用关的温度场评开口径发热减关的发热（去掉温度反馈，只剩发热口径与分布的作用）；QToClampW = 流进铜排的热（开／关）；
   发热加权半径 Δ = Σ CellGen·r/QGen 开 − 关（mm，负 = 热源往里挪）。分区：压接格 → 压接邻格（与压接格共面）→ 孔边格（有孔面）→ 孔边+1格带（r ≤ 孔半径 + 一格：判决 1 mm、导航 2 mm）→ 盘其余（r ≤ 盘半径）→ 舌其余。
R	w	档	区	格数	等温 开	等温 关	Δ等温W	热场 开	热场 关	Δ热场W	关温度场下开口径−关W	平均T开	平均T关	QToClamp 开	关	ΔW	发热加权半径Δmm
31.25	30.00	导航	舌其余	746	394.435	389.867	+4.568	366.099	361.427	+4.672	+3.973	1094.1	1091.4				
31.25	30.00	判决	全片	4548	495.042	495.087	-0.044	440.412	440.715	-0.304	-0.197			193.165	193.449	-0.284	-0.0453
31.25	30.00	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
31.25	30.00	判决	压接邻格	60	16.024	10.922	+5.103	9.151	6.237	+2.914	+2.914	469.9	469.9				
31.25	30.00	判决	孔边格	148	4.513	4.121	+0.392	4.517	4.124	+0.392	+0.392	1150.1	1150.1				
31.25	30.00	判决	孔边+1格带	70	1.756	2.141	-0.385	1.759	2.145	-0.385	-0.385	1149.9	1149.9				
31.25	30.00	判决	盘其余	880	25.587	25.651	-0.064	25.719	25.784	-0.064	-0.064	1149.7	1149.7				
31.25	30.00	判决	舌其余	2910	447.162	452.252	-5.090	399.265	402.425	-3.160	-3.054	1079.3	1079.3				
30.00	29.50	导航	全片	1146	476.665	476.607	+0.058	423.414	422.261	+1.153	+0.721			193.984	194.389	-0.404	-0.1200
30.00	29.50	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.50	导航	压接邻格	30	60.168	61.853	-1.685	38.234	39.314	-1.081	-1.071	561.5	561.7				
30.00	29.50	导航	孔边格	76	9.981	9.595	+0.386	9.998	9.611	+0.387	+0.386	1150.3	1150.3				
30.00	29.50	导航	孔边+1格带	32	1.911	2.219	-0.308	1.917	2.225	-0.309	-0.309	1149.4	1149.4				
30.00	29.50	导航	盘其余	142	13.401	13.480	-0.079	13.456	13.534	-0.078	-0.079	1149.4	1149.3				
30.00	29.50	导航	舌其余	746	391.204	389.460	+1.744	359.809	357.575	+2.234	+1.794	1082.9	1081.0				
30.00	29.50	判决	全片	4280	476.690	476.774	-0.085	422.191	422.109	+0.082	+0.030			193.950	194.125	-0.175	-0.0351
30.00	29.50	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.50	判决	压接邻格	60	31.045	30.926	+0.118	18.528	18.459	+0.069	+0.071	506.2	506.2				
30.00	29.50	判决	孔边格	150	4.656	4.310	+0.346	4.660	4.314	+0.346	+0.346	1150.1	1150.1				
30.00	29.50	判决	孔边+1格带	68	1.728	2.066	-0.339	1.730	2.069	-0.339	-0.339	1150.0	1150.0				
30.00	29.50	判决	盘其余	648	18.789	18.899	-0.110	18.859	18.969	-0.110	-0.110	1149.8	1149.8				
30.00	29.50	判决	舌其余	2874	420.472	420.572	-0.100	378.414	378.298	+0.116	+0.063	1081.1	1080.7				
30.00	29.55	导航	全片	1132	474.550	474.685	-0.135	421.071	420.130	+0.940	+0.524			193.649	194.065	-0.416	-0.1052
30.00	29.55	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.55	导航	压接邻格	30	60.066	61.748	-1.682	38.154	39.232	-1.079	-1.069	561.1	561.3				
30.00	29.55	导航	孔边格	76	8.962	8.257	+0.705	8.975	8.269	+0.706	+0.705	1150.1	1150.1				
30.00	29.55	导航	孔边+1格带	38	3.530	4.223	-0.692	3.539	4.233	-0.694	-0.694	1149.8	1149.8				
30.00	29.55	导航	盘其余	124	11.488	11.696	-0.208	11.533	11.741	-0.208	-0.209	1149.2	1149.2				
30.00	29.55	导航	舌其余	744	390.504	388.761	+1.743	358.870	356.654	+2.216	+1.790	1081.5	1079.7				
30.00	29.55	判决	全片	4250	474.281	474.262	+0.019	419.553	419.367	+0.186	+0.134			193.609	193.784	-0.175	-0.0442
30.00	29.55	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.55	判决	压接邻格	60	30.992	30.874	+0.118	18.493	18.424	+0.069	+0.070	506.0	506.0				
30.00	29.55	判决	孔边格	148	4.628	4.255	+0.373	4.631	4.257	+0.373	+0.373	1150.1	1150.1				
30.00	29.55	判决	孔边+1格带	66	1.973	2.319	-0.346	1.976	2.323	-0.347	-0.347	1150.1	1150.1				
30.00	29.55	判决	盘其余	644	18.922	18.947	-0.025	18.988	19.013	-0.025	-0.025	1149.7	1149.7				
30.00	29.55	判决	舌其余	2852	417.766	417.867	-0.100	375.465	375.350	+0.115	+0.063	1079.2	1078.8				
30.00	29.70	导航	全片	1146	469.316	469.199	+0.117	414.850	414.162	+0.688	+0.474			192.985	193.387	-0.402	-0.1091
30.00	29.70	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.70	导航	压接邻格	30	51.507	50.340	+1.167	31.981	31.263	+0.718	+0.725	540.5	540.7				
30.00	29.70	导航	孔边格	76	8.671	7.640	+1.031	8.679	7.648	+1.032	+1.031	1150.0	1150.0				
30.00	29.70	导航	孔边+1格带	40	5.331	6.335	-1.004	5.347	6.354	-1.008	-1.007	1150.3	1150.3				
30.00	29.70	导航	盘其余	120	11.174	11.141	+0.033	11.215	11.182	+0.033	+0.033	1149.1	1149.1				
30.00	29.70	导航	舌其余	760	392.633	393.743	-1.110	357.628	357.714	-0.087	-0.308	1071.0	1069.8				
30.00	29.70	判决	全片	4248	469.014	468.997	+0.017	413.743	413.705	+0.038	+0.041			192.997	193.200	-0.203	-0.0444
30.00	29.70	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.70	判决	压接邻格	60	26.712	25.170	+1.543	15.743	14.834	+0.908	+0.909	495.5	495.6				
30.00	29.70	判决	孔边格	148	4.654	4.276	+0.378	4.657	4.278	+0.379	+0.379	1150.1	1150.1				
30.00	29.70	判决	孔边+1格带	62	1.398	1.677	-0.279	1.400	1.680	-0.279	-0.279	1149.8	1149.8				
30.00	29.70	判决	盘其余	642	19.360	19.460	-0.100	19.420	19.520	-0.100	-0.100	1149.6	1149.6				
30.00	29.70	判决	舌其余	2856	416.890	418.415	-1.525	372.524	373.393	-0.869	-0.867	1072.7	1072.5				
30.00	29.80	导航	全片	1132	465.479	465.426	+0.053	410.825	410.192	+0.633	+0.412			192.737	193.135	-0.397	-0.1040
30.00	29.80	导航	压接格	120	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.80	导航	压接邻格	30	51.585	50.417	+1.169	32.031	31.312	+0.719	+0.726	540.5	540.7				
30.00	29.80	导航	孔边格	76	10.004	9.624	+0.379	10.018	9.638	+0.380	+0.380	1150.1	1150.1				
30.00	29.80	导航	孔边+1格带	32	1.908	2.213	-0.305	1.913	2.219	-0.306	-0.306	1149.3	1149.3				
30.00	29.80	导航	盘其余	128	13.413	13.487	-0.074	13.455	13.529	-0.074	-0.075	1149.1	1149.1				
30.00	29.80	导航	舌其余	746	388.569	389.685	-1.116	353.408	353.495	-0.087	-0.313	1068.9	1067.7				
30.00	29.80	判决	全片	4194	465.502	465.586	-0.085	410.042	410.107	-0.065	-0.060			192.752	192.957	-0.205	-0.0361
30.00	29.80	判决	压接格	480	0.000	0.000	+0.000	0.000	0.000	+0.000	+0.000	450.0	450.0				
30.00	29.80	判决	压接邻格	60	26.753	25.208	+1.545	15.767	14.857	+0.910	+0.911	495.6	495.6				
30.00	29.80	判决	孔边格	150	4.674	4.334	+0.340	4.677	4.337	+0.340	+0.340	1150.1	1150.1				
30.00	29.80	判决	孔边+1格带	70	1.732	2.068	-0.336	1.734	2.070	-0.336	-0.336	1149.8	1149.8				
30.00	29.80	判决	盘其余	622	18.797	18.903	-0.106	18.852	18.958	-0.106	-0.106	1149.5	1149.5				
30.00	29.80	判决	舌其余	2812	413.545	415.073	-1.528	369.012	369.885	-0.873	-0.869	1070.9	1070.6				
── 总耗时 29 s　2026-09-23，F3（C2）
